,Mean,std,Median,5%,95%
N,355.4971244364712,4.347401154028934,355.4971244364712,348.5201275144236,362.9082079977284
r,77.3980611247789,0.9355872962386286,77.3980611247789,75.90304733362085,78.98115839987307
sigma,0.09472648637658268,0.00577411527328562,0.09472648637658268,0.08578421098104451,0.10469993430909016
phase_1,-2.525212374553939,0.003215627062009992,-2.525212374553939,-2.530500301338753,-2.5199646651466105
phase_2,-2.1352887546278394,0.008915939547328807,-2.1352887546278394,-2.149966892313723,-2.1207387133233664
phase_3,-1.9740321591785115,0.004011979311111856,-1.9740321591785115,-1.9805120639574252,-1.9673111090158537
phase_4,-1.3169857377506424,0.04862285103197308,-1.3169857377506424,-1.3951102059223306,-1.2315429214358358
phase_5,-1.25409766588871,0.06841757070668472,-1.25409766588871,-1.358841728525626,-1.1323680066157742
phase_6,-1.2531918278441008,0.017105896115514316,-1.2531918278441008,-1.281188832039505,-1.2247086415129371
x_01,79.72460128228946,0.6701958778865572,79.72460128228946,78.6413743016928,80.85481815280916
x_02,79.91101501970161,0.7485337288283985,79.91101501970161,78.69611122920875,81.14876695734169
x_03,79.87001704071392,0.11644332653715199,79.87001704071392,79.67877990671144,80.06682046097119
x_04,81.04609297010386,3.6185894062553814,81.04609297010386,74.7906801334772,86.91498630251186
x_05,80.93546246330683,4.969385385006989,80.93546246330683,72.2735787590441,88.64846871922346
x_06,83.20969653278108,1.2844433629190555,83.20969653278108,81.08200159313535,85.3042962812933
y_01,136.10182942748705,0.6845616380684717,136.10182942748705,135.00756591120867,137.26075597842015
y_02,135.77754066045566,0.8877813582035007,135.77754066045566,134.35005222959995,137.27290030428242
y_03,135.76058228092504,0.948994983527742,135.76058228092504,134.24492065781297,137.36716281422665
y_04,135.96190567382683,1.39075953510474,135.96190567382683,133.53052700321854,138.10008391347887
y_05,135.52219816466075,2.0401425695558246,135.52219816466075,131.76981730734832,138.52739189315776
y_06,136.4659531993768,0.99011519979623,136.4659531993768,134.86589044952257,138.13145549848187
